Id,SalePrice
1461,130296.58294518858
1462,170354.4098531081
1463,170775.9770421282
1464,195960.40387614584
1465,172149.54695048102
1466,170091.61999958128
1467,175020.021979123
1468,175341.52067530667
1469,173962.12478910305
1470,124239.45417627698
1471,182335.61081548117
1472,95080.43202204906
1473,89824.75600022593
1474,151869.31966965238
1475,109484.1688124618
1476,363759.2267353279
1477,264002.56192527164
1478,331476.0311483561
1479,286780.6484308288
1480,485666.0389140857
1481,339206.1694644107
1482,214397.49805811918
1483,194588.7969104641
1484,157420.40555689932
1485,176750.97794577957
1486,202085.53690688888
1487,381094.2555376437
1488,238111.55863914045
1489,225659.44874243342
1490,231213.9960104772
1491,199464.12922646376
1492,97029.5464809001
1493,185811.10794825695
1494,276351.02612197684
1495,308717.9645498294
1496,201916.64331337673
1497,176942.08584570722
1498,128061.06919364764
1499,129369.37004046992
1500,156516.02820493164
1501,166667.54940950254
1502,144849.93846435953
1503,345121.0620288995
1504,240272.336668014
1505,209439.41912769928
1506,209858.12375059913
1507,239770.97590431047
1508,219802.33642821453
1509,175853.30080586928
1510,140996.4302391398
1511,148973.85423816563
1512,170027.44579115574
1513,150737.1404655894
1514,179547.2392135044
1515,189854.1775752987
1516,157107.02236898386
1517,169802.6093124577
1518,144105.10958504927
1519,219327.45692058737
1520,142202.19631767768
1521,139804.7864142164
1522,159641.35343681037
1523,112390.56615425271
1524,118999.45116033973
1525,125109.4578724182
1526,111611.1789414627
1527,104319.30903675675
1528,141481.0577109848
1529,140710.64861881614
1530,203936.0575703084
1531,112862.19787721787
1532,96226.65174628062
1533,145024.4724777676
1534,114442.86177975603
1535,173112.99390169332
1536,112715.15243079259
1537,61135.71401487495
1538,151747.07667134603
1539,148578.96512647497
1540,84504.8809103023
1541,158374.58880183104
1542,133323.5034292751
1543,212034.4235908448
1544,73217.8675856277
1545,118490.40193149015
1546,122531.75766331688
1547,131032.31484252425
1548,144598.02553612067
1549,120403.14977610881
1550,126814.95537219435
1551,119457.11141970244
1552,132873.99299811423
1553,141744.90885596792
1554,113042.5263589224
1555,170600.6732921819
1556,83140.55030598071
1557,108140.80549058932
1558,90874.03729662731
1559,76038.27666759747
1560,127548.86709798162
1561,118956.95558955187
